dataset	image	max_sim_image	max_sim_image_dist	med_sim_image	med_sim_image_dist	min_sim_image	min_sim_image_dist
mscoco	184	1163	0.3060849905014038	474	0.8155389428138733	255	0.9512995108962059
mscoco	185	4624	0.5111613571643829	4819	0.8324432820081711	1974	0.9518346861004829
mscoco	186	2533	0.45945876836776733	3615	0.7987509816884995	561	0.9415656179189682
mscoco	187	3855	0.28129929304122925	1522	0.7875191569328308	2103	0.9422675296664238
mscoco	188	4336	0.48285746574401855	1614	0.7473457157611847	4398	0.9248739778995514
mscoco	189	2166	0.6037862300872803	113	0.8579928129911423	212	0.9698331169784069
mscoco	190	4058	0.5969566106796265	3211	0.8385056257247925	2006	0.9674666002392769
mscoco	191	3204	0.46666109561920166	810	0.8414182215929031	4355	0.9683966040611267
mscoco	192	44	0.3777883052825928	1475	0.8089386969804764	212	0.9588995911180973
mscoco	193	2123	0.3006022572517395	4804	0.7831301689147949	418	0.964729655534029
mscoco	194	2239	0.5230467319488525	1359	0.8291288763284683	4867	0.9452130049467087
mscoco	195	3260	0.5231614410877228	3430	0.7873740792274475	3481	0.9368927553296089
mscoco	196	1703	0.36671727895736694	804	0.8131721913814545	552	0.9473350830376148
mscoco	197	3208	0.30763787031173706	3977	0.8119836002588272	1280	0.9622096866369247
mscoco	198	3226	0.297627329826355	3795	0.8034067004919052	592	0.9479154981672764
mscoco	199	690	0.4298561215400696	3836	0.8183195143938065	1119	0.9514832124114037
mscoco	200	3942	0.44427943229675293	4730	0.8703201413154602	3327	0.9562669694423676
mscoco	201	2483	0.38744866847991943	288	0.7787058502435684	854	0.932112880051136
mscoco	202	4227	0.47055935859680176	44	0.7797753512859344	1712	0.9425073750317097
mscoco	203	4018	0.3461509346961975	4354	0.8376351892948151	2957	0.9610434882342815
mscoco	204	757	0.3344495892524719	2260	0.7712786644697189	1712	0.9285215437412262
mscoco	205	950	0.12277764081954956	1178	0.8708391636610031	277	0.9633363112807274
mscoco	206	1188	0.15687966346740723	1105	0.8396462649106979	953	0.9699812885373831
