dataset	architecture	distractor_name	cap_len	token_pos	jsd
mscoco	par	med	12	4	0.16992152845112238
mscoco	par	med	12	5	0.06999738546866167
mscoco	par	med	12	6	0.08186102511476062
mscoco	par	med	12	7	0.03681337117587359
mscoco	par	med	12	8	0.026797573858982092
mscoco	par	med	12	9	0.49578803540523403
mscoco	par	med	12	10	0.0700346669421391
mscoco	par	med	12	11	0.32733012017018914
mscoco	par	med	12	12	0.0104392954444972
mscoco	par	min	7	0	0.05733707945169129
mscoco	par	min	7	1	0.49024540167417585
mscoco	par	min	7	2	0.17712734022083032
mscoco	par	min	7	3	0.3002563018376378
mscoco	par	min	7	4	0.13983256602293764
mscoco	par	min	7	5	0.14393488114914113
mscoco	par	min	7	6	0.4834839257119536
mscoco	par	min	7	7	0.08025206402175544
mscoco	par	min	8	0	0.05717522144699886
mscoco	par	min	8	1	0.4771480310374676
mscoco	par	min	8	2	0.19190174096902926
mscoco	par	min	8	3	0.20817324617981856
mscoco	par	min	8	4	0.26943606343768006
mscoco	par	min	8	5	0.12387486654867848
mscoco	par	min	8	6	0.1420424233910644
mscoco	par	min	8	7	0.45622182993830784
mscoco	par	min	8	8	0.06259040862424368
mscoco	par	min	9	0	0.057396623353214035
mscoco	par	min	9	1	0.471336202705228
mscoco	par	min	9	2	0.17181313061280384
mscoco	par	min	9	3	0.22762306004708582
mscoco	par	min	9	4	0.14741455791409766
mscoco	par	min	9	5	0.22589358981394778
mscoco	par	min	9	6	0.07505959600145413
mscoco	par	min	9	7	0.15486189303746728
mscoco	par	min	9	8	0.3972814440577655
mscoco	par	min	9	9	0.037694948795289174
mscoco	par	min	10	0	0.05690118122908056
mscoco	par	min	10	1	0.48304368200232495
mscoco	par	min	10	2	0.19381640810571088
mscoco	par	min	10	3	0.21115673860794756
mscoco	par	min	10	4	0.22791156098079013
mscoco	par	min	10	5	0.18258752259498112
