dataset	architecture	cap_len	token_pos	tag	freq	prop
mscoco	init	12	9	DET	15	0.12931034482758622
mscoco	init	12	9	PRON	3	0.02586206896551724
mscoco	init	12	10	DET	26	0.22413793103448276
mscoco	init	12	10	ADJ	32	0.27586206896551724
mscoco	init	12	10	PRON	2	0.017241379310344827
mscoco	init	12	10	VERB	13	0.11206896551724138
mscoco	init	12	10	ADP	26	0.22413793103448276
mscoco	init	12	10	NOUN	17	0.14655172413793102
mscoco	init	12	11	NOUN	113	0.9741379310344828
mscoco	init	12	11	PRON	3	0.02586206896551724
mscoco	init	13	0	DET	25	1.0
mscoco	init	13	1	NOUN	18	0.72
mscoco	init	13	1	ADJ	7	0.28
mscoco	init	13	2	VERB	8	0.32
mscoco	init	13	2	CONJ	4	0.16
mscoco	init	13	2	NOUN	3	0.12
mscoco	init	13	2	ADP	10	0.4
mscoco	init	13	3	VERB	3	0.12
mscoco	init	13	3	ADJ	4	0.16
mscoco	init	13	3	ADP	5	0.2
mscoco	init	13	3	NOUN	6	0.24
mscoco	init	13	3	DET	6	0.24
mscoco	init	13	3	PRT	1	0.04
mscoco	init	13	4	PRT	2	0.08
mscoco	init	13	4	NOUN	9	0.36
mscoco	init	13	4	DET	5	0.2
mscoco	init	13	4	VERB	6	0.24
mscoco	init	13	4	ADP	1	0.04
mscoco	init	13	4	ADJ	2	0.08
mscoco	init	13	5	DET	3	0.12
mscoco	init	13	5	VERB	1	0.04
mscoco	init	13	5	ADJ	2	0.08
mscoco	init	13	5	ADP	4	0.16
mscoco	init	13	5	CONJ	3	0.12
mscoco	init	13	5	NOUN	12	0.48
mscoco	init	13	6	NOUN	8	0.32
mscoco	init	13	6	ADP	9	0.36
mscoco	init	13	6	DET	4	0.16
mscoco	init	13	6	PRT	1	0.04
mscoco	init	13	6	CONJ	1	0.04
mscoco	init	13	6	VERB	2	0.08
mscoco	init	13	7	ADP	5	0.2
mscoco	init	13	7	DET	5	0.2
mscoco	init	13	7	VERB	2	0.08
mscoco	init	13	7	NOUN	10	0.4
mscoco	init	13	7	ADJ	3	0.12
mscoco	init	13	8	DET	4	0.16
mscoco	init	13	8	NOUN	4	0.16
mscoco	init	13	8	VERB	3	0.12
mscoco	init	13	8	ADP	9	0.36
mscoco	init	13	8	ADJ	3	0.12
mscoco	init	13	8	PRT	2	0.08
mscoco	init	13	9	NOUN	9	0.36
mscoco	init	13	9	ADJ	2	0.08
mscoco	init	13	9	ADP	3	0.12
mscoco	init	13	9	DET	9	0.36
mscoco	init	13	9	CONJ	1	0.04
mscoco	init	13	9	VERB	1	0.04
mscoco	init	13	10	ADP	9	0.36
mscoco	init	13	10	PRT	3	0.12
mscoco	init	13	10	PRON	1	0.04
mscoco	init	13	10	NOUN	9	0.36
mscoco	init	13	10	DET	3	0.12
mscoco	init	13	11	DET	12	0.48
mscoco	init	13	11	NOUN	4	0.16
mscoco	init	13	11	ADP	5	0.2
mscoco	init	13	11	VERB	4	0.16
mscoco	init	13	12	NOUN	25	1.0
mscoco	init	14	0	DET	2	1.0
mscoco	init	14	1	NOUN	2	1.0
mscoco	init	14	2	ADP	2	1.0
mscoco	init	14	3	NOUN	1	0.5
mscoco	init	14	3	DET	1	0.5
mscoco	init	14	4	VERB	1	0.5
mscoco	init	14	4	ADJ	1	0.5
mscoco	init	14	5	ADP	1	0.5
mscoco	init	14	5	NOUN	1	0.5
mscoco	init	14	6	DET	1	0.5
mscoco	init	14	6	CONJ	1	0.5
mscoco	init	14	7	NOUN	1	0.5
mscoco	init	14	7	DET	1	0.5
mscoco	init	14	8	ADJ	2	1.0
mscoco	init	14	9	PRT	1	0.5
mscoco	init	14	9	NOUN	1	0.5
mscoco	init	14	10	DET	1	0.5
mscoco	init	14	10	CONJ	1	0.5
mscoco	init	14	11	NOUN	1	0.5
mscoco	init	14	11	DET	1	0.5
mscoco	init	14	12	ADP	1	0.5
mscoco	init	14	12	ADJ	1	0.5
mscoco	init	14	13	NOUN	2	1.0
mscoco	pre	6	0	DET	1	1.0
mscoco	pre	6	1	NOUN	1	1.0
mscoco	pre	6	2	ADP	1	1.0
mscoco	pre	6	3	NOUN	1	1.0
mscoco	pre	6	4	ADP	1	1.0
mscoco	pre	6	5	PRON	1	1.0
mscoco	pre	7	0	DET	127	1.0
mscoco	pre	7	1	NOUN	116	0.9133858267716536
mscoco	pre	7	1	ADJ	11	0.08661417322834646
mscoco	pre	7	2	VERB	64	0.5039370078740157
mscoco	pre	7	2	ADJ	4	0.031496062992125984
mscoco	pre	7	2	ADP	39	0.30708661417322836
mscoco	pre	7	2	NOUN	19	0.14960629921259844
mscoco	pre	7	2	CONJ	1	0.007874015748031496
mscoco	pre	7	3	DET	8	0.06299212598425197
mscoco	pre	7	3	VERB	22	0.1732283464566929
mscoco	pre	7	3	ADP	47	0.3700787401574803
mscoco	pre	7	3	NOUN	43	0.33858267716535434
mscoco	pre	7	3	ADJ	7	0.05511811023622047
mscoco	pre	7	4	NOUN	22	0.1732283464566929
mscoco	pre	7	4	ADP	55	0.4330708661417323
mscoco	pre	7	4	DET	34	0.2677165354330709
mscoco	pre	7	4	CONJ	5	0.03937007874015748
mscoco	pre	7	4	VERB	4	0.031496062992125984
mscoco	pre	7	4	PRT	7	0.05511811023622047
mscoco	pre	7	5	CONJ	7	0.05511811023622047
mscoco	pre	7	5	DET	70	0.5511811023622047
mscoco	pre	7	5	NOUN	26	0.2047244094488189
mscoco	pre	7	5	ADP	14	0.11023622047244094
mscoco	pre	7	5	ADJ	8	0.06299212598425197
mscoco	pre	7	5	VERB	2	0.015748031496062992
mscoco	pre	7	6	NOUN	124	0.9763779527559056
mscoco	pre	7	6	PRON	2	0.015748031496062992
mscoco	pre	7	6	ADJ	1	0.007874015748031496
mscoco	pre	8	0	DET	1437	0.9937759336099585
mscoco	pre	8	0	NUM	9	0.006224066390041493
mscoco	pre	8	1	NOUN	1224	0.8464730290456431
mscoco	pre	8	1	ADJ	219	0.15145228215767634
mscoco	pre	8	1	VERB	3	0.002074688796680498
mscoco	pre	8	2	VERB	479	0.3312586445366528
mscoco	pre	8	2	DET	42	0.029045643153526972
